Label,Image,Original Image
Red 0,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_0.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-2fed6168-a6b5-4dd2-9d66-d1dcd60d66ab?alt=media&token=f954e409-83fa-4628-9955-76557ca893e7
Red 1,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_1.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-8f5db348-a724-40a7-b58c-8dcd5198aa7d?alt=media&token=207f4e0d-7dd1-4d3e-b9eb-1438e10af898
Red 2,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_2.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-89c07043-d89d-466d-ab14-e172081a9e0d?alt=media&token=ed3fe092-b63a-4219-bfdd-e3e6da423893
Red 3,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_3.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-fcf8d52b-4a02-4900-aea2-d5b46d7f066c?alt=media&token=8bbe4407-4294-4249-86fe-d0bd6cbfd31e
Red 4,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_4.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-a1948ef2-3b9b-4506-8a10-046d030572ff?alt=media&token=9e9e64cf-5852-4677-902f-d2b08320f1af
Red 5,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_5.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-0211ae21-f148-4a5a-8bdd-ef61df7799ce?alt=media&token=7f7ec242-8822-4a05-b8ea-c6e6fd1a4ab8
Red 6,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_6.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-216b6b06-c439-49f9-9ff4-46079ef1a0bf?alt=media&token=a9d7287a-3c93-4512-9f22-7ce6dc250421
Red 7,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_7.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-05b68b3b-5c42-4421-b361-854927c59e6e?alt=media&token=436675d4-ad0e-4e20-8e4e-87a01d457cae
Red 8,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_8.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-609438fb-db2e-4269-844f-1017eb3a602c?alt=media&token=26a3dde5-e47e-4d6d-8f32-32d1fdeb5c1f
Red 9,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Red_9.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-cb1b2ca9-5c01-4998-af9d-96f82ba1cbe2?alt=media&token=2793f281-f86d-4169-b0b6-bcd4fbe1675c
Yellow 0,https://raw.githubusercontent.com/john-costanzo/uno-card-images/master/Yellow_0.png,https://firebasestorage.googleapis.com/v0/b/playingcardsio.appspot.com/o/cfq58g-47901434-1340-42ce-8748-925ab40d7432?alt=media&token=36f22155-210e-417d-9599-8a786a770e89
